Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Odin's Ravens (Second Edition),6.47,7.01,3937,,2016.0,1.2,2.0,2.0,15.0,30.0,10.0,Family,
Council of 4,6.47,7.14,2951,,2015.0,2.63,2.0,4.0,40.0,75.0,10.0,Strategy,
Level 7 [Omega Protocol],6.469,7.43,2131,293.68,2013.0,3.18,2.0,6.0,60.0,90.0,14.0,Strategy,Thematic
Lockup: A Roll Player Tale,6.468,7.37,2220,47.99,2019.0,2.4,1.0,5.0,45.0,90.0,10.0,Strategy,
Ponzi Scheme,6.468,7.15,2882,,2015.0,2.42,3.0,5.0,60.0,90.0,12.0,Strategy,
Mythos Tales,6.468,7.36,2340,,2016.0,2.12,1.0,10.0,60.0,120.0,13.0,Thematic,
1862: Railway Mania in the Eastern Counties,6.467,8.23,1105,65.69,2013.0,4.62,1.0,8.0,120.0,300.0,14.0,Strategy,
Stardew Valley: The Board Game,6.466,7.39,2663,99.99,2021.0,2.74,1.0,4.0,45.0,200.0,13.0,Thematic,
Dungeon Fighter,6.466,6.81,6703,29.5,2011.0,1.76,1.0,6.0,45.0,60.0,14.0,Party,
Vikings Gone Wild,6.466,7.12,3640,,2017.0,2.24,2.0,4.0,45.0,90.0,10.0,Strategy,
Maximum Apocalypse,6.465,7.52,2201,,2018.0,2.12,1.0,6.0,45.0,90.0,13.0,Thematic,
Werewords Deluxe Edition,6.465,7.54,1830,26.36,2018.0,1.31,2.0,20.0,10.0,10.0,8.0,Party,
Fleet,6.464,6.85,5201,,2012.0,2.24,2.0,4.0,30.0,45.0,10.0,Strategy,
Zombie Teenz Evolution,6.464,7.69,1653,24.99,2020.0,1.45,2.0,4.0,15.0,25.0,8.0,Family,
Agra,6.463,7.3,2404,61.65,2017.0,4.34,2.0,4.0,90.0,120.0,12.0,Strategy,
Paris,6.463,7.25,2555,109.99,2020.0,2.77,2.0,4.0,90.0,90.0,12.0,Family,Strategy
New York 1901,6.463,6.8,6253,39.57,2015.0,2.05,2.0,4.0,30.0,60.0,8.0,Family,
Hamburgum,6.462,7.05,3233,,2007.0,3.07,2.0,5.0,75.0,75.0,12.0,Strategy,
Thunderbolt Apache Leader,6.462,8.02,1336,69.99,2012.0,3.22,1.0,1.0,90.0,90.0,12.0,Wargames,
Blokus Duo,6.461,6.82,5686,,2005.0,1.69,2.0,2.0,15.0,15.0,5.0,Abstract,
Brew,6.46,7.11,3294,29.95,2021.0,2.35,2.0,4.0,45.0,90.0,10.0,Strategy,
Fief: France 1429,6.46,7.43,2260,,2015.0,3.82,3.0,6.0,120.0,240.0,13.0,Strategy,
It's a Wonderful Kingdom,6.46,7.31,2407,44.72,2021.0,2.65,1.0,2.0,45.0,60.0,14.0,Strategy,
Strasbourg,6.459,7.16,2708,,2011.0,2.73,3.0,5.0,60.0,60.0,12.0,Strategy,
The Initiative,6.459,7.59,1872,47.24,2021.0,2.0,1.0,4.0,30.0,60.0,8.0,Family,Thematic
A Touch of Evil: The Supernatural Game,6.459,6.98,4641,,2008.0,2.56,2.0,8.0,60.0,120.0,12.0,Thematic,
Azul: Master Chocolatier,6.458,7.96,1356,31.49,2022.0,1.76,2.0,4.0,30.0,45.0,8.0,Abstract,
Tussie Mussie,6.456,6.95,4148,,2019.0,1.13,2.0,4.0,20.0,30.0,8.0,Family,
Medieval Academy,6.456,6.94,3977,,2014.0,1.81,2.0,5.0,30.0,30.0,8.0,Family,
Agropolis,6.456,7.39,2032,,2021.0,1.76,1.0,4.0,15.0,20.0,8.0,Strategy,
Carcassonne: South Seas,6.456,7.06,3416,177.77,2013.0,1.89,2.0,5.0,35.0,35.0,8.0,Family,
The Fox in the Forest Duet,6.455,7.07,3201,,2020.0,1.74,2.0,2.0,30.0,30.0,10.0,Family,
Exit: The Game – The Sunken Treasure,6.454,7.05,3353,14.95,2017.0,1.86,1.0,4.0,45.0,90.0,10.0,Family,
Sherlock Holmes Consulting Detective: The Baker Street Irregulars,6.454,8.3,1095,,2020.0,2.19,1.0,8.0,90.0,90.0,14.0,Thematic,
Bad Company,6.454,7.33,2254,49.99,2021.0,1.92,1.0,6.0,30.0,30.0,8.0,Family,
Peloponnes,6.454,7.1,2890,,2009.0,2.38,1.0,5.0,45.0,45.0,10.0,Strategy,
Arkadia,6.454,6.91,4311,,2006.0,2.57,2.0,4.0,45.0,60.0,10.0,Strategy,
Back to the Future: Back in Time,6.453,7.25,2635,15.9,2020.0,2.41,2.0,4.0,50.0,50.0,10.0,Thematic,
Copenhagen,6.453,6.99,3766,,2019.0,1.69,2.0,4.0,20.0,40.0,8.0,Family,
Castell,6.453,7.42,1945,70.29,2018.0,3.2,2.0,4.0,60.0,90.0,12.0,Strategy,
Duelosaur Island,6.453,7.06,3318,34.95,2018.0,2.36,1.0,2.0,30.0,45.0,10.0,Strategy,
Hacienda,6.452,6.92,4188,,2005.0,2.63,2.0,5.0,60.0,90.0,10.0,Strategy,
Sentient,6.452,7.2,2560,,2017.0,2.2,2.0,4.0,30.0,60.0,12.0,Strategy,
Dead Man's Draw: Captain Carcass,6.452,6.85,5487,18.99,2015.0,1.33,2.0,4.0,15.0,15.0,13.0,Family,
Betrayal at Baldur's Gate,6.452,7.09,3915,59.99,2017.0,2.57,3.0,6.0,60.0,60.0,12.0,Thematic,
Royals,6.451,7.17,2700,37.99,2014.0,2.21,2.0,5.0,60.0,60.0,10.0,Family,Strategy
Folklore: The Affliction,6.45,7.7,2051,,2017.0,3.68,1.0,5.0,90.0,120.0,14.0,Thematic,
Maglev Metro,6.45,7.26,2402,59.83,2021.0,2.77,1.0,4.0,60.0,90.0,14.0,Strategy,
Santiago de Cuba,6.45,6.89,4552,,2011.0,2.15,2.0,4.0,40.0,75.0,10.0,Family,Strategy
Rattus,6.449,6.78,6034,,2010.0,2.06,2.0,4.0,45.0,45.0,10.0,Family,Strategy
The Golden Ages,6.449,7.26,2354,44.95,2014.0,2.9,2.0,4.0,60.0,90.0,12.0,Strategy,
Floriferous,6.448,7.52,1820,15.64,2021.0,1.66,1.0,4.0,20.0,30.0,14.0,Family,
BattleTech,6.448,7.09,3579,,1985.0,3.41,2.0,99.0,,,12.0,Thematic,Wargames
Escape Room: The Game,6.448,6.92,4082,79.99,2016.0,2.24,3.0,5.0,60.0,60.0,16.0,Family,
Thunderbirds,6.448,7.55,1948,,2015.0,2.49,1.0,4.0,45.0,60.0,10.0,Thematic,
Ninjato,6.447,7.16,2712,,2011.0,2.76,2.0,4.0,60.0,60.0,12.0,Strategy,
Dale of Merchants 2,6.447,7.31,2335,,2016.0,2.06,2.0,4.0,30.0,30.0,10.0,Family,Strategy
